	ar_context	ar_label	name	hdi_context	hdi_label	purported_uses	ar_flag	hdi_flag
440	"Glucosamine tends to be safe and well tolerated, but caution should be exercised in certain populations (see Warnings and Interactions). Rare reactions include gastrointestinal complaints (33) and allergic reactions (20).
Case Reports
Increased intraocular pressure: In a randomized double-blind trial, glucosamine sulfate supplementation significantly increased intraocular pressure in older patients with OA (29). The implication of this finding needs further evaluation.
Liver injury/hepatotoxicity and elevated aminotransferase values: In patients with liver disease (20) (21).
Reduced glucose tolerance: From infusion and oral forms of glucosamine (34)."	Interactions,Increased intraocular pressure,Intraocular pressure,Blind,Finding,Liver injury,Injury,Hepatotoxicity,Glucose,Infusion	Glucosamine	Warfarin: Although more information is needed to define this interaction, glucosamine-chondroitin may potentiate warfarin effects and increase INR levels (22).,Anticoagulants/Antiplatelets: Use of glucosamine may inhibit platelet aggregation (23).	Warfarin,Glucosamine	Inflammation,Osteoarthritis,Temporomandibular joint disorder (TMJ)	True	True
444	Studies in cancer patients suggest oral glutamine is well tolerated (14) (17) (18) (19). However, other studies using specific oral preparations reported adverse events including peripheral edema, gastrointestinal symptoms, heachache, fever, and infections (32) (33).	Cancer,Peripheral edema,Edema,Oedema,Fever	Glutamine	"Lactulose: Glutamine may reduce the ammonia-lowering effect of lactulose (34). This interaction does not apply when lactulose is used as a laxative.
Methotrexate: Glutamine may preferentially increase tumor retention of MTX, thereby increasing its therapeutic efficacy (31)."	Lactulose,Glutamine,Ammonia,Methotrexate	Cancer-related cachexia,Cancer treatment-related mucositis,Chemotherapy-induced neuropathy,Chemotherapy-induced gastrointestinal toxicity,AIDS-associated wasting,Immunostimulation,Recovery from surgery	False	True
448	 	 	Glyconutrients	 	 	Antitumor properties,Health maintenance,Immunostimulant	False	False
452	Photosensitivity was reported in a patient following use of a dietary supplement containing ginseng, goldenseal, bee pollen, and other ingredients (25).,Rats and mice that were fed goldenseal root powder had an increase in liver tumors (26).	Photosensitivity	Goldenseal	Cytochrome P450 substrates: Goldenseal inhibits CYP3A4 and CYP2D6 isoenzymes, and can affect the intracellular concentration of drugs metabolized by these enzymes (11) (18).		Anorexia,Cancer treatment,Cirrhosis,Colitis,Common cold,Conjunctivitis,Diabetes,Edema,Fever,Infections,Menorrhagia	False	True
456	Isothankuniside, a glycoside isolated from gotu kola, was shown to reduce fertility in mice (12).,Contact dermatitis (17) and hepatotoxicity (18) (26) have been reported following use of gotu kola.	Contact dermatitis,Dermatitis,Hepatotoxicity	Gotu Kola	Cytochrome P450 substrates: Gotu kola inhibits CYP 2C9, CYP 2D6, CYP 3A4 (21) and CYP 2C19 (27) in vitro and can affect the intracellular concentration of drugs metabolized by these enzymes.		Burns,Cancer treatment,Circulatory disorders,Memory loss,Psoriasis,Scars,Sedation,Varicose veins	False	True
460	 	 	Grape Seed	Cytochrome P450 3A4 substrates: Grape seed extract inhibits CYP3A4 and can affect the intracellular concentration of drugs metabolized by this enzyme (18).,Anticoagulant/antiplatelet drugs: Due to the antiplatelet activity of grape seed, it may increase the risk of adverse effects of these drugs (1) (19).,UGT (Uridine 5’-diphospho-glucuronosyltransferase) substrates: Grape seed modulates UGT enzymes in vitro and can increase the side effects of drugs metabolized by them (20).	Grape Seed Extract,GRAPE SEED,Enzyme,Activity,Uridine	Atherosclerosis,Cancer prevention,High cholesterol,Wound healing	False	True
464	Movement disorders and myeloneuropathy with symptoms mimicking Parkinson’s disease (20) (21),Repeated use may increase liver and kidney toxicity (25)		Graviola	"Antidiabetics: Graviola may have additive effects resulting in hypoglycemic symptoms (8).
Antihypertensives: Graviola may have additive effects resulting in hypotension (32).
P-glycoprotein (P-gp) substrates: Graviola contains acetogenins that are known to inhibit P-gp and may affect the metabolism of substrate drugs (29)."		Cancer treatment,Herpes,Infections,Parasitic infections	False	True
468	"Green tea is generally considered safe, but because of the caffeine content, excessive consumption can disrupt sleep and cause headaches. A few cases of hepatotoxicity have also been associated with green tea extracts containing high EGCG levels (44) (46) (47) (58).,Adverse reactions appear to be dose dependent. Clinical trials reported the following effects:
— Nausea, abdominal pain, and transaminitis after intake of high dose EGCG (2000 mg orally twice per day) in patients with early stage chronic lymphocytic leukemia (52)
— Elevation in alanine aminotransferase (ALT) levels, also after consumption of high amounts of EGCG (843 mg daily for one year) by postmenopausal women at risk for breast cancer (68)
— In another study of EGCG in breast cancer patients, rectal bleeding (with 800mg daily), weight gain, indigestion and insomnia (daily dose of 1200 mg), and liver function abnormality (at 1,600 mg daily) were reported (69).
However, in a study of men with high-grade prostatic intraepithelial neoplasia (HGPIN) and/or atypical small acinar proliferation (ASAP), EGCG (200 mg, twice daily for one year) was shown to be safe (70).,Pruritic swelling and darkening of lower lip following green tea consumption for several years (45) and thrombotic thrombocytopenic purpura after taking a green tea supplement for weight loss (48) have also been reported.,When consumed during fasting, green tea extract increased the risk of toxicity in animal studies. Whether it has the same effect in humans is not known (49)."	Caffeine,Headaches,Hepatotoxicity,Nausea,Abdominal pain,Pain,Transaminitis,Chronic lymphocytic leukaemia,Chronic lymphocytic leukemia,Lymphocytic leukaemia,Lymphocytic leukemia,Leukaemia,Leukemia,Alanine aminotransferase,Breast cancer,Cancer,Rectal bleeding,Bleeding,Weight gain,Weight,Indigestion,Insomnia,Prostatic intraepithelial neoplasia,Swelling,Thrombotic thrombocytopenic purpura,Thrombocytopenic purpura,Purpura,Weight loss,Fasting,Animal	Green Tea	Adenosine: The caffeine content may inhibit the hemodynamic effects of adenosine (18).,Anticoagulants / Antiplatelets: Theoretically, consumption of large amounts (.5-1 gallon/day) may provide enough vitamin K to antagonize the effects of anticoagulants and antiplatelet agents, though this effect has not been reported in humans (29) (34).,Atropine: The tannin content may reduce the absorption of atropine.,Iron supplements: The tannin content in may reduce the bioavailability of iron. Green tea should be taken either 2 hours before or 4 hours following iron administration.,Codeine: The tannin content may reduce the absorption of codeine (18).,Bortezomib: EGCG and other polyphenols can inhibit the therapeutic effect of bortezomib (Velcade®) and other boronic acid based proteasome inhibitors (37).,Tamoxifen: EGCG was shown to increase the oral bioavailability of tamoxifen, increasing the potential for their interactions (38).,Verapamil: The bioavailability of Verapamil increased significantly in the presence of EGCG, thought to be due to P-glycoprotein inhibition by EGCG (39).,Irinotecan: A study found EGCG to inhibit transport of irinotecan and its metabolite SN-38 into biliary elimination, resulting in their prolonged half-life which can increase toxicity (40).,Cytochrome P450 3A4 substrates: Green tea extract inhibits CYP 3A4 enzyme and can affect the intracellular concentration of drugs metabolized by this enzyme (43) (44).,UGT (Uridine 5’-diphospho-glucuronosyltransferase) substrates: Green tea modulates UGT enzymes in vitro and can increase the side effects of drugs metabolized by them (51).,Acetaminophen: Green tea was shown to increase acetaminophen-induced hepatotoxicity in mice when administered following acetaminophen  (53).,Nadolol: Green tea extract inhibits OATP1A2 transporter and can reduce the absorption and plasma concentration of substrate drugs, like nadolol (54).,Palbociclib: The bioavailability of Palbociclib decreased following administration of green tea extract in a murine model (79). Clinical relevance has yet to be determined.	Adenosine,Caffeine,Vitamin K,Vitamin,Atropine,Iron,Codeine,bortezomib,Velcade,Tamoxifen,Verapamil,irinotecan,Green Tea Extract,Enzyme,Uridine,Acetaminophen,Nadolol,palbociclib	Cancer prevention,Cancer treatment,Cardiovascular disease,Cognitive improvement,GI disorders,Hypertension,Weight loss	True	True
472	Vomiting, agitation, tachycardia, hypertension, or nausea: Pediatric cases with abuse or misuse of guarana-containing supplements (28).,Tachycardia: In 2 women consuming guarana-containing supplement/energy drinks (29).,Premature ventricular contractions: In a 25-year-old woman with pre-existing mitral valve prolapse following consumption of guarana (7).,Seizures: In 4 healthy young adults following consumption of an energy drink that contained guarana along with other ingredients (18).	Vomiting,Agitation,Tachycardia,Hypertension,Nausea,Premature ventricular contractions,Mitral valve prolapse,Prolapse,Seizures	Guarana	"Anticoagulant or Antiplatelet drugs: Guarana demonstrated antiplatelet activity and can therefore have additive effects (20) (21).
Amiodarone: A study done in rats showed that Guarana extract decreases the bioavailability of amiodarone (24)."	Activity,Amiodarone	Appetite suppression,Central nervous system stimulation,Fatigue,Sexual performance	True	True
476	Severe hypertransaminasemia: In a 63-year old woman after using an over-the-counter lipid-lowering product for 6 months that contained guggulsterol and red yeast rice extract. Her symptoms normalized after the product was discontinued  (12).,Allergic reactions: Contact dermatitis attributed to guggul in slimming and anticellulite creams  (13) (14).,Fulminant hepatic failure requiring transplant: In a healthy woman who took a dietary supplement containing usnic acid, green tea, and guggul tree extract  (15).	Hypertransaminasemia,Contact dermatitis,Dermatitis,Fulminant hepatic failure,Hepatic failure,Transplant	Guggul	"Anticoagulants/Antiplatelets: Due to potential anticoagulant and antiplatelet effects, guggul theoretically may potentiate the effects of aspirin, NSAIDs, and warfarin.
Thyroid supplements: Guggul may have thyroid stimulating activities  (2).
Cytochrome P450 enzymes: Guggul induces CYP3A4 and can affect the intracellular concentration of drugs metabolized by this enzyme (8)."	Aspirin,Warfarin,Enzyme	Acne,Arthritis,Hemorrhoids,High cholesterol,Rheumatoid arthritis,Urinary tract disorders,Weight loss	True	True
480	"Common: Nausea, fatigue, sedation, and sweating
Toxicity: Hypotension, arrhythmia
 (7)"	Nausea,Fatigue,Sedation,Sweating,Hypotension,Arrhythmia	Hawthorn	Digoxin: Hawthorn contains alkaloids that are structurally similar to digoxin and can interfere with its action (16).,UGT (Uridine 5’-diphospho-glucuronosyltransferase) substrates: Hawthorn modulates UGT enzymes in vitro and can increase the side effects of drugs metabolized by them (17).,Cytochrome P450 (CYP) 3A4 substrates: Hawthone extract induces CYP3A4 by activating pregnane X receptor (PXR). This may increase the clearance of substrate drugs when used concomitantly (19).	Digoxin,Uridine,Receptor	Angina,Atherosclerosis,Congestive heart failure,Hypertension,Indigestion	True	True
484	 	 	HMB	mTOR inhibitors: Laboratory studies suggest that the stimulating effect of HMB on mTOR is reduced by rapamycin, an mTOR inhibitor (6) (25). It is not known whether HMB may reduce the effectiveness of these drugs.		Cancer-related cachexia,HIV- and AIDS-associated wasting,Strength and stamina,Weight gain	False	True
488	Acute hepatitis was observed in a patient who took Lycopodium Similiaplex, a homeopathic remedy used to treat hepatopathy, to relieve insomnia (13).,Allergic reactions and intoxications were reported following use of some homeopathic products (12).	Hepatitis,Hepatopathy,Insomnia	Homeopathy	 	 	Allergies,Asthma,Common cold,Dysmenorrhea,Eye disorders,Hemorrhoids,Radiation therapy side effects,Rheumatoid arthritis,Warts	False	False
